"symbol","Margin Mode","Position Side","Entry Price","Avg. Close Pirce","Max Open Interest","Closed Vol.","Closing PNL","Opened","Closed","Status"
"LINKUSDC","Isolated","Short","16.00000000","16.62362000","319.93000000","319.93000000","-199.51475000","2025-05-20 00:19:24.359","2025-05-23 01:09:17.543","Closed"
"ADAUSDC","Isolated","Short","0.74000000","0.80882100","5440.20000000","5440.20000000","-374.40101000","2025-05-19 16:55:28.552","2025-05-23 01:09:17.543","Closed"
"VETUSDT","Cross","Short","0.02800000","0.03045000","201492.00000000","201492.00000000","-493.59683700","2025-05-19 16:53:11.090","2025-05-23 01:09:17.543","Closed"
"XRPUSDT","Cross","Short","2.35000000","2.43050000","1614.20000000","1614.20000000","-129.94310000","2025-05-19 16:43:46.431","2025-05-23 01:09:17.543","Closed"
"THETAUSDT","Isolated","Short","0.87000000","0.96853600","5317.50000000","5317.50000000","-523.96423000","2025-05-19 15:10:15.221","2025-05-23 01:09:17.543","Closed"
"THETAUSDT","Isolated","Short","0.89568200","0.84760000","4273.20000000","4273.20000000","205.46246999","2025-05-19 00:38:44.642","2025-05-19 06:23:37.009","Closed"
"ICPUSDT","Isolated","Short","5.20098400","5.05300000","1125.00000000","1125.00000000","166.48200000","2025-05-17 20:54:22.461","2025-05-19 06:23:36.947","Closed"
"DOGEUSDC","Isolated","Short","0.21600000","0.21814000","9543.00000000","9543.00000000","-20.42202000","2025-05-17 20:51:53.141","2025-05-19 06:23:35.765","Closed"
"VETUSDT","Cross","Short","0.02786749","0.02758200","252184.00000000","252184.00000000","71.89603472","2025-05-17 19:09:40.698","2025-05-19 06:14:17.526","Closed"
"ETHUSDT","Isolated","Short","2484.53000000","2470.39000000","1.68500000","1.68500000","23.82590000","2025-05-17 09:46:32.327","2025-05-17 18:50:11.682","Closed"
"BCHUSDT","Isolated","Short","399.24374069","384.07120000","11.40700000","11.40700000","173.07316993","2025-05-17 09:36:28.619","2025-05-19 06:13:27.370","Closed"
"ETCUSDT","Isolated","Short","18.23900000","19.59607000","132.80000000","132.80000000","-180.21886000","2025-05-17 09:33:19.995","2025-05-23 01:09:17.543","Closed"
"EOSUSDT","Isolated","Short","0.79734427","0.76200000","7309.90000000","7309.90000000","258.36310000","2025-05-17 09:33:08.276","2025-05-21 09:00:01.575","Closed"
"AAVEUSDT","Cross","Short","225.28000000","215.39000000","5.40000000","5.40000000","53.40600000","2025-05-17 09:32:13.202","2025-05-19 06:06:33.481","Closed"
"ADAUSDT","Isolated","Short","0.76610000","0.72620000","5509.00000000","5509.00000000","219.80910000","2025-05-17 09:30:48.854","2025-05-19 06:14:18.736","Closed"
"LTCUSDT","Cross","Short","99.81000000","95.31000000","21.77500000","21.77500000","97.98750000","2025-05-17 09:29:38.188","2025-05-19 06:23:46.445","Closed"
"XRPUSDC","Cross","Short","2.37380000","2.34230000","1702.00000000","1702.00000000","53.61300000","2025-05-17 08:13:31.209","2025-05-19 06:19:18.428","Closed"
"LINKUSDC","Isolated","Short","15.45997942","15.06800000","600.57000000","600.57000000","235.41107997","2025-05-17 08:10:58.162","2025-05-19 06:23:46.460","Closed"
