"symbol","Margin Mode","Position Side","Entry Price","Avg. Close Pirce","Max Open Interest","Closed Vol.","Closing PNL","Opened","Closed","Status"
"STBLUSDT","Cross","Long","0.26761700","0.27880000","4000.00000000","4000.00000000","44.73176000","2025-10-03 01:41:40.942","2025-10-03 05:43:21.448","Closed"
"VIRTUALUSDT","Cross","Long","1.10500000","1.12470000","1000.00000000","1000.00000000","19.70000000","2025-10-02 14:42:49.661","2025-10-02 16:58:11.800","Closed"
"AIXBTUSDT","Cross","Long","0.09863000","0.09960000","10000.00000000","10000.00000000","9.70000000","2025-10-02 07:30:39.066","2025-10-05 05:17:54.381","Closed"
"VIRTUALUSDT","Cross","Long","1.11460000","1.12010000","1000.00000000","1000.00000000","5.50000000","2025-10-02 06:51:49.110","2025-10-02 09:20:06.681","Closed"
"XPLUSDT","Cross","Long","0.90225000","0.98031600","1500.00000000","500.00000000","35.15780000","2025-10-02 04:18:57.357",,"Partially Closed"
"XPLUSDT","Cross","Long","0.91000000","0.98031600","1000.00000000","500.00000000","35.15780000","2025-10-02 04:18:57.357",,"Partially Closed"
"XPLUSDT","Cross","Long","0.90168000","1.00434300","2000.00000000","2500.00000000","256.65780000","2025-10-02 04:18:57.357","2025-10-07 04:04:28.782","Closed"
"XPLUSDT","Cross","Long","0.90168000","0.98057200","2000.00000000","1500.00000000","116.25780000","2025-10-02 04:18:57.357",,"Partially Closed"
"WLDUSDC","Cross","Long","1.31613333","0.35900000","3000.00000000","3000.00000000","-2871.39999999","2025-10-02 02:02:07.281","2025-10-10 21:19:53.938","Closed"
"LPTUSDT","Cross","Long","6.48800000","6.61800000","100.00000000","100.00000000","13.00000000","2025-10-02 01:40:14.875","2025-10-05 05:36:13.754","Closed"
"BBUSDT","Cross","Long","0.18264000","0.20068000","5000.00000000","5000.00000000","90.19820000","2025-10-02 01:28:03.614","2025-10-03 14:21:01.743","Closed"
"BTCUSDC","Cross","Short","119558.60000000","118138.00000000","0.50000000","0.50000000","710.30000000","2025-10-01 09:20:10.413","2025-10-10 17:05:05.803","Closed"
"BBUSDT","Cross","Long","0.18268000","0.18855800","10000.00000000","10000.00000000","58.77784000","2025-10-01 02:18:39.440","2025-10-01 10:17:45.345","Closed"
"XPLUSDT","Cross","Long","1.01040000","1.06020000","2000.00000000","1000.00000000","49.80000000","2025-09-30 14:57:08.730",,"Partially Closed"
