timestamp,percentage,depth,notional,weighted_avg_price
2025-10-10 00:09:02,3,4601.589,565415857.2617,122874.045739787
2025-10-10 00:09:02,4,5604.639,691791687.6811,123431.979772667
2025-10-10 00:09:02,5,6520.625,807958964.4394,123908.208866389
2025-10-10 00:09:31,-5,8488.305,1009715857.7587,118953.767302035
2025-10-10 00:09:31,-4,7729.621,921568778.6242,119225.609978057
2025-10-10 00:09:31,-3,6758.43,807612758.5174,119497.095999722
2025-10-10 00:09:31,-2,4091.412,491709094.0667,120180.782103269
2025-10-10 00:09:31,-1,1707.639,206859643.7471,121137.807081649
2025-10-10 00:09:31,1,2482.365,303316422.8246,122188.486715129
2025-10-10 00:09:31,2,3906.423,478985962.3141,122614.975980353
2025-10-10 00:09:31,3,4572.134,561950474.2261,122907.700042497
2025-10-10 00:09:31,4,5577.776,688667785.2689,123466.375356217
2025-10-10 00:09:31,5,6489.909,804359753.3645,123940.066550163
2025-10-10 00:10:06,-5,8510.364,1012413857.674,118962.462436859
2025-10-10 00:10:06,-4,7753.631,924494297.9142,119233.723904865
2025-10-10 00:10:06,-3,6783.362,810646911.9263,119505.182227677
2025-10-10 00:10:06,-2,4116.877,494806607.466,120189.796164908
2025-10-10 00:10:06,-1,1730.931,209694493.1123,121145.495177046
2025-10-10 00:10:06,1,2497.427,305150815.8646,122186.080259643
2025-10-10 00:10:06,2,3923.195,481029770.9477,122611.741437196
2025-10-10 00:10:06,3,4587.618,563833284.9137,122903.276801534
2025-10-10 00:10:06,4,5593.272,690552091.4614,123461.203292348
2025-10-10 00:10:06,5,6505.413,806245022.4775,123934.486938416
2025-10-10 00:10:37,-5,8540.789,1016095947.2682,118969.798606218
2025-10-10 00:10:37,-4,7782.567,928002661.6216,119241.204299507
2025-10-10 00:10:37,-3,6811.357,814044777.314,119512.863195102
2025-10-10 00:10:37,-2,4143.958,498096062.4145,120198.144482763
2025-10-10 00:10:37,-1,1756.982,212858930.2158,121150.3192496
2025-10-10 00:10:37,1,2502.098,305725174.516,122187.530031198
2025-10-10 00:10:37,2,3925.022,481257760.3612,122612.754874036
2025-10-10 00:10:37,3,4589.078,564015395.8984,122903.859097274
2025-10-10 00:10:37,4,5594.677,690727299.7501,123461.515249245
2025-10-10 00:10:37,5,6506.851,806424410.0285,123934.666711824
2025-10-10 00:11:03,-5,8428.102,1002402145.264,118935.692195467
2025-10-10 00:11:03,-4,7671.668,914518838.3434,119207.301247056
2025-10-10 00:11:03,-3,6704.616,801052603.591,119477.775250812
2025-10-10 00:11:03,-2,4037.24,485111691.2488,120159.240285145
2025-10-10 00:11:03,-1,1652.264,200116628.0985,121116.618227172
2025-10-10 00:11:03,1,2515.488,307316370.9523,122169.682762271
2025-10-10 00:11:03,2,3918.75,480375296.6886,122583.807767426
2025-10-10 00:11:03,3,4631.933,569220742.7163,122890.538942662
2025-10-10 00:11:03,4,5627.284,694634287.3102,123440.417670443
2025-10-10 00:11:03,5,6546.306,811190380.2317,123915.744273442
2025-10-10 00:11:31,-5,8236.985,979285990.083,118888.888359394
2025-10-10 00:11:31,-4,7486.458,892092721.2026,119160.852996517
2025-10-10 00:11:31,-3,6514.181,778020213.9829,119434.847447883
2025-10-10 00:11:31,-2,3846.524,462050314.794,120121.521351225
2025-10-10 00:11:31,-1,1472.838,178419001.0709,121139.59652786
2025-10-10 00:11:31,1,2071.267,252809640.6476,122055.553749275
2025-10-10 00:11:31,2,3696.775,453148735.5715,122579.474155582
2025-10-10 00:11:31,3,4413.597,542445537.9012,122903.277734963
2025-10-10 00:11:31,4,5407.855,667721082.4617,123472.445629866
2025-10-10 00:11:31,5,6327.152,784311274.3493,123959.606841957
2025-10-10 00:12:03,-5,8428.681,1002433175.4843,118931.203528085
2025-10-10 00:12:03,-4,7680.619,915527378.2525,119199.686672715
2025-10-10 00:12:03,-3,6710.719,801735330.2582,119470.854055758
2025-10-10 00:12:03,-2,4046.935,486228694.0466,120147.394026986
2025-10-10 00:12:03,-1,1674.865,202797853.9823,121083.104597863
2025-10-10 00:12:03,1,2297.286,280477154.5193,122090.655895391
2025-10-10 00:12:03,2,3924.447,481017493.2895,122569.496616848
2025-10-10 00:12:03,3,4636.886,569762818.2957,122876.17558329
2025-10-10 00:12:03,4,5637.544,695839472.2057,123429.541695054
2025-10-10 00:12:03,5,6556.789,812423021.8278,123905.62237519
2025-10-10 00:12:30,-5,8411.992,1000362657.7452,118921.018677288
2025-10-10 00:12:30,-4,7662.875,913334589.8075,119189.545674111
2025-10-10 00:12:30,-3,6705.911,801069439.8047,119457.213166817
2025-10-10 00:12:30,-2,4050.467,486574229.3242,120127.933229477
2025-10-10 00:12:30,-1,1655.533,200421282.1292,121061.484204302
2025-10-10 00:12:30,1,2282.637,278665217.1475,122080.390858249
2025-10-10 00:12:30,2,3910.047,479229007.1389,122563.490193059
2025-10-10 00:12:30,3,4622.352,567952948.4357,122870.986120421
2025-10-10 00:12:30,4,5625.917,694392997.475,123427.522566543
2025-10-10 00:12:30,5,6542.461,810631375.6622,123903.126921536
2025-10-10 00:13:04,-5,8410.512,1000157151.4466,118917.51078253
2025-10-10 00:13:04,-4,7659.371,912899422.155,119187.257302852
2025-10-10 00:13:04,-3,6712.968,801881029.2733,119452.532661157
2025-10-10 00:13:04,-2,4050.567,486569576.4021,120123.818814033
2025-10-10 00:13:04,-1,1657.25,200615158.1386,121053.044585066
2025-10-10 00:13:04,1,2288.944,279413403.962,122070.878082644
2025-10-10 00:13:04,2,3911.658,479399371.3793,122556.565880581
2025-10-10 00:13:04,3,4622.296,567914185.8436,122864.088722055
2025-10-10 00:13:04,4,5621.982,693862946.3045,123419.631422602
2025-10-10 00:13:04,5,6542.66,810623189.3004,123898.107084947
2025-10-10 00:13:31,-5,8453.809,1005450216.1771,118934.579214778
2025-10-10 00:13:31,-4,7704.141,918357284.4313,119203.073312301
2025-10-10 00:13:31,-3,6734.17,804557577.6488,119473.903636053
2025-10-10 00:13:31,-2,4073.24,489391215.7724,120147.895967927
2025-10-10 00:13:31,-1,1694.982,205223137.1862,121076.882932208
2025-10-10 00:13:31,1,2269.786,277117716.5717,122089.799025855
2025-10-10 00:13:31,2,3876.265,475112983.7798,122569.78916039
2025-10-10 00:13:31,3,4589.97,564014431.7787,122879.764307544
2025-10-10 00:13:31,4,5589.418,689939545.45,123436.741616032
2025-10-10 00:13:31,5,6508.685,806525864.3876,123915.332265673
2025-10-10 00:14:01,-5,8439.979,1003783890.8704,118932.036545399
