time,open,high,low,close,Volume
1713274200,36.04,36.13,35.16,35.75,35341655
1713360600,35.57,35.92,33.99,34.76,52597859
1713447000,35.58,36.61,35.28,36.21,35544174
1713533400,36.95,37.15,36.24,36.67,34806727
1713792600,37.67,38.15,37.45,37.93,29881144
1713879000,37.71,38.31,37.69,37.9,17572330
1713965400,37.63,37.83,36.29,36.41,32177994
1714051800,35.94,36.99,35.79,36.86,25317116
1714138200,36.35,36.9215,36.06,36.32,20226049
1714397400,35.59,36,35.14,35.87,21694920
1714483800,34.81,35.01,33.54,33.57,41584269
1714570200,32.82,33.83,32.2,32.39,45405579
1714656600,33.45,33.965,33.16,33.8,23146274
1714743000,34.9,35.5,34.855,35.4,26368310
1715002200,36.24,36.61,35.7376,36.01,27166560
1715088600,36.21,36.6886,35.78,35.93,14753252
1715175000,35.34,35.79,35.17,35.38,14277713
1715261400,34.94,35.75,34.66,35.58,16930090
1715347800,35.8,35.995,34.26,34.58,28986035
1715607000,35.78,36.19,35.65,36,17204940
1715693400,35.34,35.495,34.8,35.07,13742748
1715779800,36.67,37.93,36.46,37.67,40518600
1715866200,37.635,37.91,36.8211,37.15,22092079
1715952600,37.84,38.54,37.54,38.28,25516871
1716211800,38.21,40.0499,38.07,39.97,32788580
1716298200,40.465,40.67,39.405,39.47,29875156
1716384600,39.77,40.33,39.445,39.71,20566823
1716471000,39.51,39.575,38.01,38.27,23933848
1716557400,38.43,39.59,38.16,39.46,19910862
1716903000,38.98,39.1,38.305,38.98,19703173
1716989400,38.66,38.74,38.24,38.32,14675489
1717075800,38.875,39.69,38.7852,39.16,26021376
1717162200,39.17,39.23,37.92,38.55,23144669
1717421400,39.78,40.12,39.09,39.44,27654000
1717507800,39.59,40.59,39.47,40.17,40569466
1717594200,40.58,41,40.111,40.67,30997617
1717680600,40.58,40.89,40.14,40.16,20192978
1717767000,40.69,40.89,38.89,39.42,35710320
1718026200,39.465,40.02,39.4,39.59,15895680
1718112600,38.29,38.535,37.62,38.43,29402910
1718199000,39.49,39.96,38.3,38.45,27518624
1718285400,38.78,38.935,37.68,37.9,24858536
1718371800,38.36,38.3899,37.025,37.3,22309008
1718631000,37.385,38.34,37.0201,37.98,17785637
1718717400,36.949,37.23,36.4399,36.64,25778215
1718890200,37.22,37.31,36.73,37.04,15271087
1718976600,36.21,36.675,36.06,36.58,21001034
1719235800,34.87,35.14,33.58,33.765,46597005
1719322200,34.885,35.565,34.73,35.3,31346229
1719408600,35.03,35.33,34.5601,34.71,13026589
1719495000,35.08,35.56,34.935,34.98,14788756
1719581400,35.03,35.225,34.1,34.14,18313090
1719840600,35.82,36.405,35.5802,36,18509918
1719927000,35.82,35.975,35.15,35.22,13772242
1720013400,34.35,34.6,34.11,34.44,12793340
1720186200,31.675,32.5378,31.57,32.2,47018318
1720445400,32.6,32.72,31.34,32.16,28999053
1720531800,32.62,33.235,32.441,32.96,18029700
1720618200,33.06,33.09,32.67,32.67,17248800
1720704600,33.52,33.64,32.57,32.7,21952222
1720791000,32.8,33.4099,32.772,32.85,16920991
1721050200,35.79,36.47,35.61,36.15,34245891
1721136600,36.425,37.22,35.97,37.17,27810528
1721223000,36.87,37.3,36.39,36.84,32704074
1721309400,36.995,37.07,36.03,36.22,22725779
1721395800,36.56,38.53,36.5,38.4,46756055
1721655000,38.56,38.96,37.95,38.93,24116204
1721741400,37.95,38.4,37.2727,37.34,35482190
1721827800,37.99,38.28,37.36,37.42,23403029
1721914200,36.62,37.15,36.09,36.83,21928801
1722000600,38.46,38.89,38.13,38.79,28993204
1722259800,39.73,39.745,37.83,38.34,38158742
1722346200,37.98,38.14,37.32,37.55,19556049
1722432600,37.87,38.09,36.995,37.18,20532966
1722519000,36.8,36.98,35.43,36.07,37068050
1722605400,36.93,37.32,35.49,35.61,35706119
1722864600,28.35,31.66,28.23,30.48,97633006
1722951000,31.43,32.535,31,32.34,39663758
1723037400,32.65,32.79,31.12,31.19,24351454
1723123800,32.91,34.14,32.3,33.88,32889358
1723210200,34.41,34.835,33.93,34.6,18872717
1723469400,33.93,34.6,32.945,33.64,20819164
1723555800,33.57,35.125,33.54,34.64,20186031
1723642200,34.635,34.74,33.43,33.56,19032543
1723728600,33.72,34.12,32.29,32.5,29136123
1723815000,33.36,34.1355,32.85,34.03,22686484
1724074200,33.47,33.795,33.1,33.62,13480151
1724160600,34.52,34.7697,33.35,33.92,21676586
1724247000,33.88,35.145,33.53,35.13,22993901
1724333400,34.66,34.735,34.24,34.35,15825085
1724419800,34.805,36.44,34.64,36.28,51673290
1724679000,36.34,36.415,35.92,36.09,19479653
1724765400,35.56,35.5872,34.99,35.38,19488634
1724851800,34.1,34.2,32.93,33.52,36007387
1724938200,34.3,34.825,33.52,33.69,22692502
1725024600,33.9,34.07,32.84,33.37,22832260
1725370200,33.64,33.65,32.7,32.98,23729710
1725456600,32.1,33.3083,31.92,33.04,19751856
1725543000,32.23,32.6,31.71,31.85,20575413
1725629400,32.285,32.38,30.24,30.41,40486810
1725888600,31.52,32.58,31.1737,32.51,24533687
1725975000,32.41,33.06,32.15,33,12648720
1726061400,32.33,33.015,31.58,32.8,20530578
1726147800,32.87,33.35,32.61,33.25,15890670
1726234200,32.88,34.225,32.8,34.04,33124995
1726493400,33.31,33.33,32.69,32.98,20931180
1726579800,33.76,34.97,33.5201,34.1,39849912
1726666200,34.08,34.93,33.66,34.15,28844922
1726752600,36.03,36.3962,35.665,36.01,25199431
1726839000,35.85,36.1955,35.515,35.8,15938421
1727098200,36.06,36.355,35.89,36.04,17294801
1727184600,36.14,36.69,35.69,36.64,19764103
1727271000,36.15,36.45,35.83,35.97,13547134
1727357400,36.655,37.53,36.52,36.84,41457113
1727443800,37.42,37.94,37.245,37.39,28884545
1727703000,36.42,36.49,35.86,36.13,23623984
1727789400,36.07,36.1,34.69,35.13,43920514
1727875800,34.63,35.51,34.135,34.24,29353609
1727962200,34.4,34.75,34.06,34.72,18482525
1728048600,35.04,35.6,34.575,35.52,22721190
1728307800,35.91,36.7297,35.69,36.06,21124067
1728394200,35.63,35.99,35.16,35.4,25203180
1728480600,35.21,35.495,34.56,34.68,18243990
1728567000,34.76,34.76,33.465,33.95,25996472
1728653400,34.94,36.145,34.94,35.94,33399382
1728912600,36.87,37.815,36.82,37.57,44553135
1728999000,37.53,38.745,36.875,38.17,53538980
1729085400,38.66,38.93,38.24,38.58,26627479
1729171800,38.16,38.54,37.94,38.05,19655515
1729258200,38.61,39.37,38.56,39.07,39820519
1729517400,38.64,38.67,38.02,38.57,28773411
1729603800,38.18,38.55,37.8909,38.41,23972920
1729690200,37.86,38.08,37.09,37.81,25771162
1729776600,38.47,38.92,38.3,38.87,27015528
1729863000,38.72,39.2,37.47,38.01,51745568
1730122200,39.25,39.84,38.95,39.67,54652311
1730208600,40.56,41.96,40.36,41.33,81566346
1730295000,40.88,41.28,40.6215,40.88,32004733
1730381400,40.98,41.01,39.725,39.78,48039769
1730467800,39.925,40.7983,39.1,39.37,49930218
1730730600,39.03,39.12,38.1701,38.25,36048942
1730817000,39.43,40.13,39.11,39.51,36660442
1730903400,42.32,43.63,41.86,43.4,97138123
1730989800,42.71,43.84,42.47,43.6,40670192
1731076200,43.44,44.09,43.1,43.69,44183719
1731335400,46.66,49.89,46.53,49.57,96319189
1731421800,49.02,51.26,48.515,51.05,77294935
1731508200,51.24,53.255,50.86,51.04,103319316
1731594600,51.99,52.3,49.7,49.73,60782759
1731681000,50.84,52.17,49.925,52.13,46939425
1731940200,51.5,52.8053,51.04,52.13,61429321
1732026600,52.16,53.66,51.91,52.7,80884031
1732113000,53.88,54.17,53.06,53.72,70154542
1732199400,55.41,56.505,54.41,55.9,93957586
1732285800,55.64,56.86,55.31,56.49,66020372
1732545000,55.41,55.49,53.67,54.02,69396705
1732631400,52.44,53.995,51.54,51.7,67423310
1732717800,53.83,55.49,53.66,55.03,61783541
1732890600,55.48,56.36,55.21,55.21,30337331
1733149800,54.66,55.545,53.75,54.48,52619439
1733236200,53.62,54.94,53.2833,54.46,39000438
1733322600,54.61,56.61,53.9,56.42,58655320
1733409000,58.595,59.16,55.7,56.4,89447615
1733495400,56.6,58.21,56.18,57.8,50016990
1733754600,56.41,57.25,54.635,54.73,55677607
1733841000,55.8,56,53.62,54.9,48810003
1733927400,56.19,57.98,56.04,57.72,48872589
1734013800,57.77,58.45,56.47,56.92,38811349
1734100200,57.2,58.09,56.73,57.91,37881688
1734359400,59.43,61.465,59.38,60.22,63994128
1734445800,61.37,61.75,60.15,60.73,49617650
1734532200,59.56,59.785,56.82,57.18,69862682
1734618600,58.195,58.48,54.28,54.72,79563946
1734705000,54.075,55.66,53.93,54.81,55327879
1734964200,54.27,54.34,52.5,52.87,44528518
1735050600,55.055,56.408,54.88,56.23,27692664
1735223400,54.42,54.96,54.06,54.3,26750363
1735309800,54.78,54.82,52.96,53.68,35983044
1735569000,52.8,53.94,51.77,53.55,39339961
1735655400,54.478,54.73,52.9,53.05,30143608
1735828200,54.895,55.73,54.59,55.37,41029151
1735914600,55.23,56.41,54.97,55.96,32839480
1736173800,56.365,58.455,56.24,58.17,47318389
1736260200,57.31,57.382,54.58,54.79,57081839
1736346600,54.27,54.61,52.51,53.34,47070972
1736519400,53.7,54.546405,52.3912,53.84,43996088
1736778600,51.65,53.33,50.69,53.22,44866491
1736865000,55.04,55.33,54.18,54.83,30772842
1736951400,56.14,57.35,53.9662,56.64,42124740
1737037800,56.53,57.29,55.3,57.09,35548005
